config             , sample, mode, seq_len, time, video, audio, chunks, vid/ch, aud/ch(avg), val
interval0.1_maxf64 , short , tti ,    1253,  192,   960,    60,     32,     30,        1.88, ok
interval0.1_maxf128, short , tti ,    2405,  384,  1920,    60,     64,     30,        0.94, ok
interval0.1_maxf256, short , tti ,    4313,  468,  3744,    60,     78,     48,        0.77, ok
interval0.2_maxf64 , short , tti ,    1253,  192,   960,    60,     32,     30,        1.88, ok
interval0.2_maxf128, short , tti ,    2207,  234,  1872,    60,     39,     48,        1.54, ok
interval0.2_maxf256, short , tti ,    4196,  234,  3861,    60,     39,     99,        1.54, ok
interval0.5_maxf64 , short , tti ,    1253,  192,   960,    60,     32,     30,        1.88, ok
interval0.5_maxf128, short , tti ,    2309,  192,  2016,    60,     32,     63,        1.88, ok
interval0.5_maxf256, short , tti ,    3461,  192,  3168,    60,     32,     99,        1.88, ok
interval1.0_maxf64 , short , tti ,    1253,  192,   960,    60,     32,     30,        1.88, ok
interval1.0_maxf128, short , tti ,    2309,  192,  2016,    60,     32,     63,        1.88, ok
interval1.0_maxf256, short , tti ,    3461,  192,  3168,    60,     32,     99,        1.88, ok
