config,sample,mode,seq_len,time,video,audio,chunks,vid/ch,aud/ch(avg),val
interval0.1_maxf64,long_60s,tti_special_token,1376,192,1024,120,32,32,3.75,ok
interval0.1_maxf64,longest,tti_special_token,1432,192,1024,180,32,32,5.62,ok
interval0.1_maxf64,medium,tti_special_token,1319,192,1024,60,32,32,1.88,ok
interval0.1_maxf64,multiseg_3plus,tti_special_token,1376,192,1024,120,32,32,3.75,ok
interval0.1_maxf64,multiseg_short,tti_special_token,1184,192,896,60,32,28,1.88,ok
interval0.1_maxf64,no_audio,video_only,1064,0,1024,0,0,0,0,ok
interval0.1_maxf64,no_video,text_only,37,0,0,0,0,0,0,ok
interval0.1_maxf64,short,tti_special_token,1253,192,960,60,32,30,1.88,ok
interval0.1_maxf128,long_60s,tti_special_token,2592,384,2048,120,64,32,1.88,ok
interval0.1_maxf128,longest,tti_special_token,2648,384,2048,180,64,32,2.81,ok
interval0.1_maxf128,medium,tti_special_token,2535,384,2048,60,64,32,0.94,ok
interval0.1_maxf128,multiseg_3plus,tti_special_token,2592,384,2048,120,64,32,1.88,ok
interval0.1_maxf128,multiseg_short,tti_special_token,2272,384,1792,60,64,28,0.94,ok
interval0.1_maxf128,no_audio,video_only,2088,0,2048,0,0,0,0,ok
interval0.1_maxf128,no_video,text_only,37,0,0,0,0,0,0,ok
interval0.1_maxf128,short,tti_special_token,2405,384,1920,60,64,30,0.94,ok
interval0.1_maxf256,long_60s,tti_special_token,5024,768,4096,120,128,32,0.94,ok
interval0.1_maxf256,longest,tti_special_token,5080,768,4096,180,128,32,1.41,ok
interval0.1_maxf256,medium,tti_special_token,3941,606,3232,60,101,32,0.59,ok
interval0.1_maxf256,multiseg_3plus,tti_special_token,5024,768,4096,120,128,32,0.94,ok
interval0.1_maxf256,multiseg_short,tti_special_token,4278,738,3444,60,123,28,0.49,ok
interval0.1_maxf256,no_audio,video_only,4136,0,4096,0,0,0,0,ok
interval0.1_maxf256,no_video,text_only,37,0,0,0,0,0,0,ok
interval0.1_maxf256,short,tti_special_token,4313,468,3744,60,78,48,0.77,ok
interval0.2_maxf64,long_60s,tti_special_token,1376,192,1024,120,32,32,3.75,ok
interval0.2_maxf64,longest,tti_special_token,1432,192,1024,180,32,32,5.62,ok
